|                      Tasks                       |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|  - zhoblimp_classifier_noun_agreement_no_gap     |      1|none  |     0|acc     |↑  |0.1567|±  |0.0210|
|  - zhoblimp_classifier_noun_subj                 |      1|none  |     0|acc     |↑  |0.9967|±  |0.0033|
|  - zhoblimp_control_modal_vs_raising_modal       |      1|none  |     0|acc     |↑  |0.9300|±  |0.0148|
|  - zhoblimp_ellipsis_adj                         |      1|none  |     0|acc     |↑  |0.6100|±  |0.0282|
|  - zhoblimp_ellipsis_double_object               |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_ellipsis_n_bar_class                 |      1|none  |     0|acc     |↑  |0.5433|±  |0.0288|
|  - zhoblimp_existential_there_subject_raising    |      1|none  |     0|acc     |↑  |0.6967|±  |0.0266|
|  - zhoblimp_fci_renhe_dou                        |      1|none  |     0|acc     |↑  |0.0100|±  |0.0058|
|  - zhoblimp_fci_renhe_prepP                      |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_fci_renhe_ruguo                      |      1|none  |     0|acc     |↑  |0.9933|±  |0.0047|
|  - zhoblimp_fci_renhe_subj                       |      1|none  |     0|acc     |↑  |0.9400|±  |0.0137|
|  - zhoblimp_fci_renhe_suoyou                     |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_intransitive_double_obj              |      1|none  |     0|acc     |↑  |0.3933|±  |0.0283|
|  - zhoblimp_intransitive_no_obj                  |      1|none  |     0|acc     |↑  |0.5367|±  |0.0288|
|  - zhoblimp_left_adverbial_b                     |      1|none  |     0|acc     |↑  |0.6700|±  |0.0272|
|  - zhoblimp_left_adverbial_d                     |      1|none  |     0|acc     |↑  |0.7033|±  |0.0264|
|  - zhoblimp_left_adverbial_e                     |      1|none  |     0|acc     |↑  |0.7500|±  |0.0250|
|  - zhoblimp_left_adverbial_negation              |      1|none  |     0|acc     |↑  |0.6267|±  |0.0280|
|  - zhoblimp_left_dou                             |      1|none  |     0|acc     |↑  |0.9567|±  |0.0118|
|  - zhoblimp_modal_raising_hui                    |      1|none  |     0|acc     |↑  |0.8533|±  |0.0205|
|  - zhoblimp_modal_raising_topicalization         |      1|none  |     0|acc     |↑  |0.7067|±  |0.0263|
|  - zhoblimp_nominal_definite_men                 |      1|none  |     0|acc     |↑  |0.9967|±  |0.0033|
|  - zhoblimp_nominal_modal_insertion              |      1|none  |     0|acc     |↑  |0.6467|±  |0.0276|
|  - zhoblimp_noun_adjective_shi                   |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_noun_phrase_conjunction_jian         |      1|none  |     0|acc     |↑  |0.9000|±  |0.0173|
|  - zhoblimp_npi_renhe_A_not_A_question           |      1|none  |     0|acc     |↑  |0.0067|±  |0.0047|
|  - zhoblimp_npi_renhe_conditional                |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_npi_renhe_neg_scope_locP             |      1|none  |     0|acc     |↑  |0.0500|±  |0.0126|
|  - zhoblimp_npi_renhe_neg_scope_subj             |      1|none  |     0|acc     |↑  |0.3867|±  |0.0282|
|  - zhoblimp_npi_renhe_wh_question_obj            |      1|none  |     0|acc     |↑  |0.5833|±  |0.0285|
|  - zhoblimp_npi_renhe_wh_question_subj           |      1|none  |     0|acc     |↑  |0.5133|±  |0.0289|
|  - zhoblimp_passive_agent_deletion_long_left     |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_passive_agent_deletion_long_right_a  |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_passive_agent_deletion_long_right_b  |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_passive_agent_deletion_short         |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_passive_body_part                    |      1|none  |     0|acc     |↑  |0.7067|±  |0.0263|
|  - zhoblimp_passive_intransitive                 |      1|none  |     0|acc     |↑  |0.5200|±  |0.0289|
|  - zhoblimp_passive_no_adj                       |      1|none  |     0|acc     |↑  |0.8200|±  |0.0222|
|  - zhoblimp_passive_suo                          |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_plural_cardinal_men_a                |      1|none  |     0|acc     |↑  |0.9700|±  |0.0099|
|  - zhoblimp_plural_cardinal_men_b                |      1|none  |     0|acc     |↑  |0.9800|±  |0.0081|
|  - zhoblimp_preposition_deletion                 |      1|none  |     0|acc     |↑  |0.0167|±  |0.0074|
|  - zhoblimp_preposition_insertion                |      1|none  |     0|acc     |↑  |0.3800|±  |0.0281|
|  - zhoblimp_principle_A_c_command                |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_principle_A_c_command_number         |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_principle_A_domain                   |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_principle_A_domain_number            |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_A_not_A                     |      1|none  |     0|acc     |↑  |0.9967|±  |0.0033|
|  - zhoblimp_question_A_not_A_daodi_a             |      1|none  |     0|acc     |↑  |0.1967|±  |0.0230|
|  - zhoblimp_question_A_not_A_daodi_b             |      1|none  |     0|acc     |↑  |0.2700|±  |0.0257|
|  - zhoblimp_question_A_not_A_indirect            |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_V_not_VP_1                  |      1|none  |     0|acc     |↑  |0.6767|±  |0.0271|
|  - zhoblimp_question_V_not_VP_2                  |      1|none  |     0|acc     |↑  |0.6900|±  |0.0267|
|  - zhoblimp_question_daodi_nandao_1              |      1|none  |     0|acc     |↑  |0.9200|±  |0.0157|
|  - zhoblimp_question_daodi_nandao_2              |      1|none  |     0|acc     |↑  |0.5867|±  |0.0285|
|  - zhoblimp_question_daodi_nandao_A_not_A_intran |      1|none  |     0|acc     |↑  |0.5567|±  |0.0287|
|  - zhoblimp_question_daodi_nandao_A_not_A_tran   |      1|none  |     0|acc     |↑  |0.6100|±  |0.0282|
|  - zhoblimp_question_daodi_negation              |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_nandao_negation             |      1|none  |     0|acc     |↑  |0.9967|±  |0.0033|
|  - zhoblimp_question_nandao_raising_1_a          |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_nandao_raising_1_b          |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_nandao_raising_2            |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_nandao_raising_3            |      1|none  |     0|acc     |↑  |0.7133|±  |0.0262|
|  - zhoblimp_question_nandao_scope_1              |      1|none  |     0|acc     |↑  |0.6133|±  |0.0282|
|  - zhoblimp_question_nandao_scope_2              |      1|none  |     0|acc     |↑  |0.1500|±  |0.0206|
|  - zhoblimp_question_particle_daodi_choice_intran|      1|none  |     0|acc     |↑  |0.4767|±  |0.0289|
|  - zhoblimp_question_particle_daodi_choice_tran  |      1|none  |     0|acc     |↑  |0.2433|±  |0.0248|
|  - zhoblimp_question_particle_nandao             |      1|none  |     0|acc     |↑  |0.3833|±  |0.0281|
|  - zhoblimp_relative_operator_intepretation      |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_relative_operator_who                |      1|none  |     0|acc     |↑  |0.9433|±  |0.0134|
|  - zhoblimp_relativization_movement_no_gap       |      1|none  |     0|acc     |↑  |0.9600|±  |0.0113|
|  - zhoblimp_relativization_movement_when_where   |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_renhe_no_episodic_sentences          |      1|none  |     0|acc     |↑  |0.4100|±  |0.0284|
|  - zhoblimp_renhe_no_superordinate_negation      |      1|none  |     0|acc     |↑  |0.1100|±  |0.0181|
|  - zhoblimp_renhe_non_factive_verb               |      1|none  |     0|acc     |↑  |0.0667|±  |0.0144|
|  - zhoblimp_right_yijing_a                       |      1|none  |     0|acc     |↑  |0.0967|±  |0.0171|
|  - zhoblimp_right_yijing_b                       |      1|none  |     0|acc     |↑  |0.2300|±  |0.0243|
|  - zhoblimp_singular_PN_but_plural_pron          |      1|none  |     0|acc     |↑  |0.8333|±  |0.0216|
|  - zhoblimp_superlative_quantifiers_1            |      1|none  |     0|acc     |↑  |0.6833|±  |0.0269|
|  - zhoblimp_superlative_quantifiers_2            |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_topicalization_OSV                   |      1|none  |     0|acc     |↑  |0.0967|±  |0.0171|
|  - zhoblimp_topicalization_OSV_mei               |      1|none  |     0|acc     |↑  |0.2467|±  |0.0249|
|  - zhoblimp_topicalization_SOV                   |      1|none  |     0|acc     |↑  |0.8167|±  |0.0224|
|  - zhoblimp_topicalization_SOV_mei               |      1|none  |     0|acc     |↑  |0.7833|±  |0.0238|
|  - zhoblimp_verb_negation_particle               |      1|none  |     0|acc     |↑  |0.3633|±  |0.0278|
|  - zhoblimp_verb_phrase_left_adverbial           |      1|none  |     0|acc     |↑  |0.8033|±  |0.0230|
|  - zhoblimp_verb_phrase_left_negation            |      1|none  |     0|acc     |↑  |0.5567|±  |0.0287|
|  - zhoblimp_ya_insertion                         |      1|none  |     0|acc     |↑  |0.8633|±  |0.0199|
|  - zhoblimp_you_quantifier_adj                   |      1|none  |     0|acc     |↑  |0.8600|±  |0.0201|
|  - zhoblimp_you_yige                             |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|

|   Groups   |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------|------:|------|-----:|------|---|-----:|---|-----:|
|zeroshot_zho|      1|none  |     0|acc   |↑  |0.5122|±  |0.0016|
| - zhoblimp |      1|none  |     0|acc   |↑  |0.5793|±  |0.0018|
