|                      Tasks                       |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|  - zhoblimp_PN_numP_a                            |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_PN_numP_b                            |      1|none  |     0|acc     |↑  |0.6267|±  |0.0280|
|  - zhoblimp_adjective_transitive_dui             |      1|none  |     0|acc     |↑  |0.0967|±  |0.0171|
|  - zhoblimp_agent_animacy_adv                    |      1|none  |     0|acc     |↑  |0.2167|±  |0.0238|
|  - zhoblimp_agent_animacy_passive                |      1|none  |     0|acc     |↑  |0.5933|±  |0.0284|
|  - zhoblimp_agent_animacy_subj                   |      1|none  |     0|acc     |↑  |0.3900|±  |0.0282|
|  - zhoblimp_agent_causative                      |      1|none  |     0|acc     |↑  |0.5400|±  |0.0288|
|  - zhoblimp_agent_deletion                       |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_anaphor_gender_agreement             |      1|none  |     0|acc     |↑  |0.5167|±  |0.0289|
|  - zhoblimp_anaphor_number_agreement             |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_causative_shi_ba                     |      1|none  |     0|acc     |↑  |0.9533|±  |0.0122|
|  - zhoblimp_classifier_noun_agreement            |      1|none  |     0|acc     |↑  |0.7867|±  |0.0237|
|  - zhoblimp_classifier_noun_agreement_no_gap     |      1|none  |     0|acc     |↑  |0.2667|±  |0.0256|
|  - zhoblimp_classifier_noun_subj                 |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_control_modal_vs_raising_modal       |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_ellipsis_adj                         |      1|none  |     0|acc     |↑  |0.6567|±  |0.0275|
|  - zhoblimp_ellipsis_double_object               |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_ellipsis_n_bar_class                 |      1|none  |     0|acc     |↑  |0.5167|±  |0.0289|
|  - zhoblimp_existential_there_subject_raising    |      1|none  |     0|acc     |↑  |0.1367|±  |0.0199|
|  - zhoblimp_fci_renhe_dou                        |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_fci_renhe_prepP                      |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_fci_renhe_ruguo                      |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_fci_renhe_subj                       |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_fci_renhe_suoyou                     |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_intransitive_double_obj              |      1|none  |     0|acc     |↑  |0.3433|±  |0.0275|
|  - zhoblimp_intransitive_no_obj                  |      1|none  |     0|acc     |↑  |0.6567|±  |0.0275|
|  - zhoblimp_left_adverbial_b                     |      1|none  |     0|acc     |↑  |0.5600|±  |0.0287|
|  - zhoblimp_left_adverbial_d                     |      1|none  |     0|acc     |↑  |0.4633|±  |0.0288|
|  - zhoblimp_left_adverbial_e                     |      1|none  |     0|acc     |↑  |0.6200|±  |0.0281|
|  - zhoblimp_left_adverbial_negation              |      1|none  |     0|acc     |↑  |0.4733|±  |0.0289|
|  - zhoblimp_left_dou                             |      1|none  |     0|acc     |↑  |0.5100|±  |0.0289|
|  - zhoblimp_modal_raising_hui                    |      1|none  |     0|acc     |↑  |0.3867|±  |0.0282|
|  - zhoblimp_modal_raising_topicalization         |      1|none  |     0|acc     |↑  |0.1367|±  |0.0199|
|  - zhoblimp_nominal_definite_men                 |      1|none  |     0|acc     |↑  |0.9467|±  |0.0130|
|  - zhoblimp_nominal_modal_insertion              |      1|none  |     0|acc     |↑  |0.4267|±  |0.0286|
|  - zhoblimp_noun_adjective_shi                   |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_noun_phrase_conjunction_jian         |      1|none  |     0|acc     |↑  |0.9200|±  |0.0157|
|  - zhoblimp_npi_renhe_A_not_A_question           |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_npi_renhe_conditional                |      1|none  |     0|acc     |↑  |0.4533|±  |0.0288|
|  - zhoblimp_npi_renhe_neg_scope_locP             |      1|none  |     0|acc     |↑  |0.4967|±  |0.0289|
|  - zhoblimp_npi_renhe_neg_scope_subj             |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_npi_renhe_wh_question_obj            |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_npi_renhe_wh_question_subj           |      1|none  |     0|acc     |↑  |0.5133|±  |0.0289|
|  - zhoblimp_passive_agent_deletion_long_left     |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_passive_agent_deletion_long_right_a  |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_passive_agent_deletion_long_right_b  |      1|none  |     0|acc     |↑  |0.0200|±  |0.0081|
|  - zhoblimp_passive_agent_deletion_short         |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_passive_body_part                    |      1|none  |     0|acc     |↑  |0.6000|±  |0.0283|
|  - zhoblimp_passive_intransitive                 |      1|none  |     0|acc     |↑  |0.3833|±  |0.0281|
|  - zhoblimp_passive_no_adj                       |      1|none  |     0|acc     |↑  |0.3133|±  |0.0268|
|  - zhoblimp_passive_suo                          |      1|none  |     0|acc     |↑  |0.0367|±  |0.0109|
|  - zhoblimp_plural_cardinal_men_a                |      1|none  |     0|acc     |↑  |0.9500|±  |0.0126|
|  - zhoblimp_plural_cardinal_men_b                |      1|none  |     0|acc     |↑  |0.9467|±  |0.0130|
|  - zhoblimp_preposition_deletion                 |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_preposition_insertion                |      1|none  |     0|acc     |↑  |0.0200|±  |0.0081|
|  - zhoblimp_principle_A_c_command                |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_principle_A_c_command_number         |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_principle_A_domain                   |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_principle_A_domain_number            |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_A_not_A                     |      1|none  |     0|acc     |↑  |0.9933|±  |0.0047|
|  - zhoblimp_question_A_not_A_daodi_a             |      1|none  |     0|acc     |↑  |0.4267|±  |0.0286|
|  - zhoblimp_question_A_not_A_daodi_b             |      1|none  |     0|acc     |↑  |0.4367|±  |0.0287|
|  - zhoblimp_question_A_not_A_indirect            |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_V_not_VP_1                  |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_question_V_not_VP_2                  |      1|none  |     0|acc     |↑  |0.4400|±  |0.0287|
|  - zhoblimp_question_daodi_nandao_1              |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_daodi_nandao_2              |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_question_daodi_nandao_A_not_A_intran |      1|none  |     0|acc     |↑  |0.0100|±  |0.0058|
|  - zhoblimp_question_daodi_nandao_A_not_A_tran   |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_question_daodi_negation              |      1|none  |     0|acc     |↑  |0.6167|±  |0.0281|
|  - zhoblimp_question_nandao_negation             |      1|none  |     0|acc     |↑  |0.4967|±  |0.0289|
|  - zhoblimp_question_nandao_raising_1_a          |      1|none  |     0|acc     |↑  |0.9500|±  |0.0126|
|  - zhoblimp_question_nandao_raising_1_b          |      1|none  |     0|acc     |↑  |0.8233|±  |0.0221|
|  - zhoblimp_question_nandao_raising_2            |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_question_nandao_raising_3            |      1|none  |     0|acc     |↑  |0.2867|±  |0.0262|
|  - zhoblimp_question_nandao_scope_1              |      1|none  |     0|acc     |↑  |0.1867|±  |0.0225|
|  - zhoblimp_question_nandao_scope_2              |      1|none  |     0|acc     |↑  |0.1900|±  |0.0227|
|  - zhoblimp_question_particle_daodi_choice_intran|      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_particle_daodi_choice_tran  |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_question_particle_nandao             |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_relative_operator_intepretation      |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_relative_operator_who                |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_relativization_movement_no_gap       |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_relativization_movement_when_where   |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_renhe_no_episodic_sentences          |      1|none  |     0|acc     |↑  |0.8733|±  |0.0192|
|  - zhoblimp_renhe_no_superordinate_negation      |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_renhe_non_factive_verb               |      1|none  |     0|acc     |↑  |0.2700|±  |0.0257|
|  - zhoblimp_right_yijing_a                       |      1|none  |     0|acc     |↑  |0.0867|±  |0.0163|
|  - zhoblimp_right_yijing_b                       |      1|none  |     0|acc     |↑  |0.5133|±  |0.0289|
|  - zhoblimp_singular_PN_but_plural_pron          |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_superlative_quantifiers_1            |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_superlative_quantifiers_2            |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_topicalization_OSV                   |      1|none  |     0|acc     |↑  |0.7800|±  |0.0240|
|  - zhoblimp_topicalization_OSV_mei               |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_topicalization_SOV                   |      1|none  |     0|acc     |↑  |0.6367|±  |0.0278|
|  - zhoblimp_topicalization_SOV_mei               |      1|none  |     0|acc     |↑  |0.3600|±  |0.0278|
|  - zhoblimp_verb_negation_particle               |      1|none  |     0|acc     |↑  |0.8633|±  |0.0199|
|  - zhoblimp_verb_phrase_left_adverbial           |      1|none  |     0|acc     |↑  |0.3567|±  |0.0277|
|  - zhoblimp_verb_phrase_left_negation            |      1|none  |     0|acc     |↑  |0.6400|±  |0.0278|
|  - zhoblimp_ya_insertion                         |      1|none  |     0|acc     |↑  |0.1600|±  |0.0212|
|  - zhoblimp_you_quantifier_adj                   |      1|none  |     0|acc     |↑  |0.4500|±  |0.0288|
|  - zhoblimp_you_yige                             |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|

|   Groups   |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------|------:|------|-----:|------|---|-----:|---|-----:|
|zeroshot_zho|      1|none  |     0|acc   |↑  |0.4824|±  |0.0016|
| - zhoblimp |      1|none  |     0|acc   |↑  |0.5135|±  |0.0017|
